frame,seed,policy,n_gaussians,n_selected,fraction_selected,predicted_cost,scheduled_cost,budget_ms,jaccard_overlap,rejected_negative_count,norm_drift
1,44,ours,3572,0,0.0,0.0,0.0,15.0,0.0,3194,0.8310185074806213
2,44,ours,3638,0,0.0,0.0,0.0,15.0,0.0,66,0.7531536221504211
3,44,ours,3700,0,0.0,0.0,0.0,15.0,0.0,128,0.6835322976112366
4,44,ours,3773,0,0.0,0.0,0.0,15.0,0.0,93,0.6214662194252014
5,44,ours,3846,0,0.0,0.0,0.0,15.0,0.0,86,0.5658431649208069
6,44,ours,3917,0,0.0,0.0,0.0,15.0,0.0,74,0.5162061452865601
7,44,ours,3986,0,0.0,0.0,0.0,15.0,0.0,71,0.4715350270271301
8,44,ours,4057,0,0.0,0.0,0.0,15.0,0.0,74,0.43169182538986206
9,44,ours,4130,0,0.0,0.0,0.0,15.0,0.0,74,0.3960122764110565
10,44,ours,4204,0,0.0,0.0,0.0,15.0,0.0,74,0.36408746242523193
11,44,ours,4274,0,0.0,0.0,0.0,15.0,0.0,70,0.33623945713043213
12,44,ours,4342,0,0.0,0.0,0.0,15.0,0.0,83,0.31422942876815796
13,44,ours,4405,0,0.0,0.0,0.0,15.0,0.0,97,0.2943783700466156
14,44,ours,4473,0,0.0,0.0,0.0,15.0,0.0,127,0.275980681180954
15,44,ours,4540,0,0.0,0.0,0.0,15.0,0.0,146,0.25955477356910706
16,44,ours,4608,0,0.0,0.0,0.0,15.0,0.0,163,0.24466091394424438
17,44,ours,4676,0,0.0,0.0,0.0,15.0,0.0,184,0.23110546171665192
18,44,ours,4744,0,0.0,0.0,0.0,15.0,0.0,200,0.21882390975952148
19,44,ours,4812,0,0.0,0.0,0.0,15.0,0.0,211,0.20763109624385834
20,44,ours,4885,0,0.0,0.0,0.0,15.0,0.0,236,0.19722242653369904
21,44,ours,4951,0,0.0,0.0,0.0,15.0,0.0,240,0.18817763030529022
22,44,ours,5021,0,0.0,0.0,0.0,15.0,0.0,256,0.17965258657932281
23,44,ours,5088,0,0.0,0.0,0.0,15.0,0.0,279,0.17218203842639923
24,44,ours,5154,0,0.0,0.0,0.0,15.0,0.0,293,0.16524174809455872
25,44,ours,5222,0,0.0,0.0,0.0,15.0,0.0,319,0.15892377495765686
26,44,ours,5291,0,0.0,0.0,0.0,15.0,0.0,328,0.15337297320365906
27,44,ours,5361,0,0.0,0.0,0.0,15.0,0.0,351,0.14848646521568298
28,44,ours,5429,0,0.0,0.0,0.0,15.0,0.0,366,0.14415909349918365
29,44,ours,5494,0,0.0,0.0,0.0,15.0,0.0,586,0.1400783658027649
1,45,no_op,3577,0,0.0,0.0,0.0,15.0,0.0,0,0.0
2,45,no_op,3646,0,0.0,0.0,0.0,15.0,0.0,0,0.0
3,45,no_op,3716,0,0.0,0.0,0.0,15.0,0.0,0,0.0
4,45,no_op,3787,0,0.0,0.0,0.0,15.0,0.0,0,0.0
5,45,no_op,3853,0,0.0,0.0,0.0,15.0,0.0,0,0.0
6,45,no_op,3921,0,0.0,0.0,0.0,15.0,0.0,0,0.0
7,45,no_op,3988,0,0.0,0.0,0.0,15.0,0.0,0,0.0
8,45,no_op,4062,0,0.0,0.0,0.0,15.0,0.0,0,0.0
9,45,no_op,4129,0,0.0,0.0,0.0,15.0,0.0,0,0.0
10,45,no_op,4195,0,0.0,0.0,0.0,15.0,0.0,0,0.0
11,45,no_op,4260,0,0.0,0.0,0.0,15.0,0.0,0,0.0
12,45,no_op,4323,0,0.0,0.0,0.0,15.0,0.0,0,0.0
13,45,no_op,4396,0,0.0,0.0,0.0,15.0,0.0,0,0.0
14,45,no_op,4462,0,0.0,0.0,0.0,15.0,0.0,0,0.0
15,45,no_op,4536,0,0.0,0.0,0.0,15.0,0.0,0,0.0
16,45,no_op,4605,0,0.0,0.0,0.0,15.0,0.0,0,0.0
17,45,no_op,4677,0,0.0,0.0,0.0,15.0,0.0,0,0.0
18,45,no_op,4743,0,0.0,0.0,0.0,15.0,0.0,0,0.0
19,45,no_op,4817,0,0.0,0.0,0.0,15.0,0.0,0,0.0
20,45,no_op,4891,0,0.0,0.0,0.0,15.0,0.0,0,0.0
21,45,no_op,4954,0,0.0,0.0,0.0,15.0,0.0,0,0.0
22,45,no_op,5020,0,0.0,0.0,0.0,15.0,0.0,0,0.0
23,45,no_op,5090,0,0.0,0.0,0.0,15.0,0.0,0,0.0
24,45,no_op,5164,0,0.0,0.0,0.0,15.0,0.0,0,0.0
25,45,no_op,5232,0,0.0,0.0,0.0,15.0,0.0,0,0.0
26,45,no_op,5298,0,0.0,0.0,0.0,15.0,0.0,0,0.0
27,45,no_op,5365,0,0.0,0.0,0.0,15.0,0.0,0,0.0
28,45,no_op,5428,0,0.0,0.0,0.0,15.0,0.0,0,0.0
29,45,no_op,5500,0,0.0,0.0,0.0,15.0,0.0,0,0.0
1,45,error_only,3576,0,0.0,0.0,0.0,15.0,0.0,0,0.0
