seed,budget_pct,policy,latency_ms,delta_quality,delta_psnr_db,efficiency
43,60%,oracle_reference,1117.3449430061737,9.686272403075115e-05,0.0009917081474100087,8.669008137285314e-08
43,60%,no_op,0.0,0.0,0.0,0.0
43,60%,random,1079.9836229998618,4.738468944619127e-05,0.0006722711565938511,4.3875377771536204e-08
43,60%,random,1098.8719949964434,7.516843044072158e-05,0.0007239150658655547,6.840508337912904e-08
43,60%,random,1177.6324170059524,4.74282833441295e-05,0.0002495792794796614,4.0274267809910136e-08
43,60%,random,1209.837577000144,4.462528110443783e-05,0.0003734180006613741,3.68853488706216e-08
43,60%,random,1225.5910329986364,5.38783064680557e-05,0.00027396423108072554,4.3961080831533506e-08
43,60%,error_only,1063.60758899973,7.235103112580218e-05,0.0007267841899434302,6.80241772191986e-08
43,60%,error_influence,1178.5021030009375,4.88037733422816e-05,0.000400672556253312,4.141169813614051e-08
43,60%,heuristic,1120.236616996408,5.431140677010684e-05,0.0005799831072845762,4.848208489714186e-08
43,60%,learned_utility,1140.7041280035628,5.374025506970566e-05,0.0005469894101075568,4.7111475930012424e-08
43,80%,oracle_reference,1269.4225009981892,9.973087561364064e-05,0.0009697102360739507,7.85639734093408e-08
43,80%,no_op,0.0,0.0,0.0,0.0
43,80%,random,1267.3510229942622,4.0958669311977095e-05,0.0004819590887006342,3.2318330572067985e-08
43,80%,random,1255.2658499989775,8.801042078637636e-05,0.0008377251078997006,7.01129731095991e-08
43,80%,random,1334.2824930005008,5.409341843223798e-05,0.0004504006071908151,4.0541203767572536e-08
43,80%,random,1222.8735759999836,6.410348632864159e-05,0.0005928937526746836,5.242037082714955e-08
43,80%,random,1392.4015700031305,5.331126316085019e-05,0.00021802248653202128,3.8287275962156764e-08
43,80%,error_only,1365.9819189997506,7.15895681900061e-05,0.000597675482927329,5.240886954230553e-08
43,80%,error_influence,1302.733762000571,6.6771980012555e-05,0.0005771140801886787,5.1255277141213545e-08
