seed,domain,method,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg,overlap,budget_cost,budget_realized_delta_q,budget_ose
43,tum_fr2_xyz,error_only,0.4,0.15977883338928223,0.337510347366333,0.47340423753531996,0.5179461670680975,0.5625,1058.0676975250244,0.18113470077514648,0.5300949317416128
43,tum_fr2_xyz,error_only,0.6,0.21463671326637268,0.3901675343513489,0.5501142172735174,0.601731454262107,0.625,1589.2011165618896,0.2412707656621933,0.6017917413598315
43,tum_fr2_xyz,error_only,0.8,0.3528457283973694,0.47540831565856934,0.742195097043331,0.6822740150875442,0.8125,2113.5553913116455,0.3182472884654999,0.6694187950419388
43,tum_fr2_xyz,heuristic,0.1,0.036194175481796265,0.08183559775352478,0.44227905767874415,0.25746222031846716,0.25,260.776273727417,0.047841161489486694,0.7113919371818515
43,tum_fr2_xyz,heuristic,0.2,0.0853966772556305,0.19038072228431702,0.4485573525796613,0.3913183699502799,0.375,522.600980758667,0.14279331266880035,0.7500407785781126
43,tum_fr2_xyz,heuristic,0.4,0.16411197185516357,0.337510347366333,0.4862427723278335,0.46047761056209313,0.4375,1058.8935070037842,0.24446752667427063,0.7154399257064917
43,tum_fr2_xyz,heuristic,0.6,0.3274446129798889,0.3901675343513489,0.8392410330394435,0.5383310656126693,0.7916666666666666,1576.9330043792725,0.353604257106781,0.8819805460164132
43,tum_fr2_xyz,heuristic,0.8,0.4423264265060425,0.47540831565856934,0.9304137151853631,0.6261190976576022,0.84375,2110.6878871917725,0.47436508536338806,0.9978055284777394
43,tum_fr2_xyz,learned,0.1,0.09507368505001068,0.08183559775352478,1.161764269367398,0.7819421223586845,0.5,264.4038848876953,0.06126413494348526,0.9109898313567042
43,tum_fr2_xyz,learned,0.2,0.10932531952857971,0.19038072228431702,0.574245713927142,0.7298930055112386,0.5,501.26853942871094,0.10932531207799911,0.5742456747919811
43,tum_fr2_xyz,learned,0.4,0.17963621020317078,0.337510347366333,0.5322391040230924,0.7405043792428703,0.5,1055.5282554626465,0.17963621020317078,0.5257095640894313
