seed,domain,method,budget_fraction,regret,oracle_delta_q,realized_delta_q,budget_regret
43,tum_fr1_desk_val,heuristic,0.6,0.22532501816749573,0.4989584982395172,0.2736334800720215,0.11740317940711975
43,tum_fr1_desk_val,heuristic,0.8,0.1757219135761261,0.5010955333709717,0.3253736197948456,0.18281769752502441
43,tum_fr1_desk_val,learned,0.1,0.116843082010746,0.16360601782798767,0.04676293581724167,0.09222055226564407
43,tum_fr1_desk_val,learned,0.2,0.1712106168270111,0.3228396475315094,0.1516290307044983,0.23655200004577637
43,tum_fr1_desk_val,learned,0.4,0.19312262535095215,0.4132879376411438,0.22016531229019165,0.2327616810798645
43,tum_fr1_desk_val,learned,0.6,0.22601833939552307,0.4989584982395172,0.27294015884399414,0.22601833939552307
43,tum_fr1_desk_val,learned,0.8,0.08405691385269165,0.5010955333709717,0.41703861951828003,0.08812206983566284
43,tum_fr1_desk_val,oracle,0.1,0.0,0.16360601782798767,0.16360601782798767,-1.4901161193847656e-08
43,tum_fr1_desk_val,oracle,0.2,0.0,0.3228396475315094,0.3228396475315094,-0.03963908553123474
43,tum_fr1_desk_val,oracle,0.4,0.0,0.4132879376411438,0.4132879376411438,0.005731910467147827
43,tum_fr1_desk_val,oracle,0.6,0.0,0.4989584982395172,0.4989584982395172,-0.014025241136550903
43,tum_fr1_desk_val,oracle,0.8,0.0,0.5010955333709717,0.5010955333709717,-0.004071474075317383
43,tum_fr2_xyz,random,0.1,0.019597109407186508,0.08183559775352478,0.06223848834633827,0.019597109407186508
43,tum_fr2_xyz,random,0.2,0.03167235851287842,0.19038072228431702,0.1587083637714386,0.0050383061170578
43,tum_fr2_xyz,random,0.4,0.1288244128227234,0.337510347366333,0.20868593454360962,0.11423888802528381
43,tum_fr2_xyz,random,0.6,0.08502370119094849,0.3901675343513489,0.3051438331604004,0.08914652466773987
43,tum_fr2_xyz,random,0.8,0.10282939672470093,0.47540831565856934,0.3725789189338684,0.10282939672470093
43,tum_fr2_xyz,error_only,0.1,0.04774417728185654,0.08183559775352478,0.03409142047166824,0.024583060294389725
43,tum_fr2_xyz,error_only,0.2,0.10156191885471344,0.19038072228431702,0.08881880342960358,0.0912371352314949
43,tum_fr2_xyz,error_only,0.4,0.17773151397705078,0.337510347366333,0.15977883338928223,0.15637564659118652
43,tum_fr2_xyz,error_only,0.6,0.1755308210849762,0.3901675343513489,0.21463671326637268,0.14889676868915558
43,tum_fr2_xyz,error_only,0.8,0.12256258726119995,0.47540831565856934,0.3528457283973694,0.15716102719306946
43,tum_fr2_xyz,heuristic,0.1,0.045641422271728516,0.08183559775352478,0.036194175481796265,0.033994436264038086
43,tum_fr2_xyz,heuristic,0.2,0.10498404502868652,0.19038072228431702,0.0853966772556305,0.04758740961551666
43,tum_fr2_xyz,heuristic,0.4,0.17339837551116943,0.337510347366333,0.16411197185516357,0.09304282069206238
43,tum_fr2_xyz,heuristic,0.6,0.06272292137145996,0.3901675343513489,0.3274446129798889,0.03656327724456787
43,tum_fr2_xyz,heuristic,0.8,0.033081889152526855,0.47540831565856934,0.4423264265060425,0.0010432302951812744
43,tum_fr2_xyz,learned,0.1,-0.013238087296485901,0.08183559775352478,0.09507368505001068,0.02057146281003952
43,tum_fr2_xyz,learned,0.2,0.0810554027557373,0.19038072228431702,0.10932531952857971,0.0810554102063179
43,tum_fr2_xyz,learned,0.4,0.15787413716316223,0.337510347366333,0.17963621020317078,0.15787413716316223
43,tum_fr2_xyz,learned,0.6,0.1453721821308136,0.3901675343513489,0.24479535222053528,0.13047778606414795
43,tum_fr2_xyz,learned,0.8,0.05098956823348999,0.47540831565856934,0.42441874742507935,0.050989627838134766
43,tum_fr2_xyz,oracle,0.1,0.0,0.08183559775352478,0.08183559775352478,0.014585532248020172
43,tum_fr2_xyz,oracle,0.2,0.0,0.19038072228431702,0.19038072228431702,0.0
43,tum_fr2_xyz,oracle,0.4,0.0,0.337510347366333,0.337510347366333,-0.00419202446937561
43,tum_fr2_xyz,oracle,0.6,0.0,0.3901675343513489,0.3901675343513489,-0.010753154754638672
43,tum_fr2_xyz,oracle,0.8,0.0,0.47540831565856934,0.47540831565856934,-2.9802322387695312e-08
44,tum_fr1_desk_val,random,0.1,0.11565686762332916,0.17743204534053802,0.06177517771720886,0.11667089909315109
44,tum_fr1_desk_val,random,0.2,0.14937013387680054,0.22170570492744446,0.07233557105064392,0.11014866828918457
44,tum_fr1_desk_val,random,0.4,0.1757291555404663,0.36898475885391235,0.19325560331344604,0.13470175862312317
44,tum_fr1_desk_val,random,0.6,0.24380487203598022,0.527738630771637,0.28393375873565674,0.23239266872406006
44,tum_fr1_desk_val,random,0.8,0.12866729497909546,0.5601627826690674,0.4314954876899719,0.1073065996170044
44,tum_fr1_desk_val,error_only,0.1,0.09152759611606598,0.17743204534053802,0.08590444922447205,0.12796600908041
44,tum_fr1_desk_val,error_only,0.2,0.08830145001411438,0.22170570492744446,0.13340425491333008,0.0885983258485794
44,tum_fr1_desk_val,error_only,0.4,0.0945940911769867,0.36898475885391235,0.27439066767692566,0.10241648554801941
44,tum_fr1_desk_val,error_only,0.6,0.1478092074394226,0.527738630771637,0.37992942333221436,0.22406241297721863
44,tum_fr1_desk_val,error_only,0.8,0.13879597187042236,0.5601627826690674,0.421366810798645,0.1434650421142578
44,tum_fr1_desk_val,heuristic,0.1,0.1550358682870865,0.17743204534053802,0.022396177053451538,0.11919929459691048
44,tum_fr1_desk_val,heuristic,0.2,0.14512745290994644,0.22170570492744446,0.07657825201749802,0.14881017804145813
44,tum_fr1_desk_val,heuristic,0.4,0.16646122932434082,0.36898475885391235,0.20252352952957153,0.24273377656936646
44,tum_fr1_desk_val,heuristic,0.6,0.06448334455490112,0.527738630771637,0.46325528621673584,0.06448334455490112
44,tum_fr1_desk_val,heuristic,0.8,0.13630256056785583,0.5601627826690674,0.42386022210121155,0.1372489333152771
44,tum_fr1_desk_val,learned,0.1,0.07766891270875931,0.17743204534053802,0.09976313263177872,0.0862559899687767
44,tum_fr1_desk_val,learned,0.2,0.017418459057807922,0.22170570492744446,0.20428724586963654,0.049916595220565796
44,tum_fr1_desk_val,learned,0.4,0.07182896137237549,0.36898475885391235,0.29715579748153687,0.08118799328804016
44,tum_fr1_desk_val,learned,0.6,0.16811347007751465,0.527738630771637,0.3596251606941223,0.15671822428703308
44,tum_fr1_desk_val,learned,0.8,0.07349953055381775,0.5601627826690674,0.48666325211524963,0.04318642616271973
44,tum_fr1_desk_val,oracle,0.1,0.0,0.17743204534053802,0.17743204534053802,0.0038969963788986206
44,tum_fr1_desk_val,oracle,0.2,0.0,0.22170570492744446,0.22170570492744446,0.00029687583446502686
44,tum_fr1_desk_val,oracle,0.4,0.0,0.36898475885391235,0.36898475885391235,0.007204383611679077
44,tum_fr1_desk_val,oracle,0.6,0.0,0.527738630771637,0.527738630771637,-0.003416895866394043
