experiment,variant,beta,seed,domain,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg
sensitivity,B2_beta_0.95,0.95,43,tum_fr1_desk_val,0.2,0.25844627618789673,0.3096950054168701,0.8345186823236752,0.7908820151151358
sensitivity,B2_beta_0.95,0.95,43,tum_fr1_desk_val,0.4,0.30881041288375854,0.436788409948349,0.7070022893928276,0.8142645441294206
sensitivity,B2_beta_0.95,0.95,43,tum_fr1_desk_val,0.6,0.4650680124759674,0.4868185222148895,0.955321093385736,0.8260365661115745
sensitivity,B2_beta_0.95,0.95,43,tum_fr1_desk_val,0.8,0.5197800993919373,0.5047381520271301,1.0298014663769341,0.852868021592881
sensitivity,B2_beta_0.95,0.95,43,tum_fr2_xyz,0.1,0.04288620129227638,0.08183559775352478,0.5240530677238016,0.5655172468465169
sensitivity,B2_beta_0.95,0.95,43,tum_fr2_xyz,0.2,0.11156393587589264,0.19038072228431702,0.5860043426520791,0.6105264305142744
sensitivity,B2_beta_0.95,0.95,43,tum_fr2_xyz,0.4,0.1743624210357666,0.337510347366333,0.5166135415705599,0.6146891376738399
sensitivity,B2_beta_0.95,0.95,43,tum_fr2_xyz,0.6,0.3364129066467285,0.3901675343513489,0.8622267831272662,0.6944254886113368
sensitivity,B2_beta_0.95,0.95,43,tum_fr2_xyz,0.8,0.427410364151001,0.47540831565856934,0.8990384498608051,0.7553583167203417
sensitivity,B2_beta_0.95,0.95,44,tum_fr1_desk_val,0.1,0.14109469950199127,0.17743204534053802,0.7952041091514949,0.8147149091414477
sensitivity,B2_beta_0.95,0.95,44,tum_fr1_desk_val,0.2,0.14475798606872559,0.22170570492744446,0.6529285278735335,0.7987894454097452
sensitivity,B2_beta_0.95,0.95,44,tum_fr1_desk_val,0.4,0.2404797226190567,0.36898475885391235,0.6517334668474267,0.8130371777404335
sensitivity,B2_beta_0.95,0.95,44,tum_fr1_desk_val,0.6,0.3367002010345459,0.5344743728637695,0.6299650868774497,0.8482986585031995
sensitivity,B2_beta_0.95,0.95,44,tum_fr1_desk_val,0.8,0.398575097322464,0.5601627826690674,0.7115344013181073,0.8613265956111419
sensitivity,B2_beta_0.95,0.95,44,tum_fr2_xyz,0.1,0.0445224829018116,0.10548802465200424,0.4220619243565146,0.6978921549314896
sensitivity,B2_beta_0.95,0.95,44,tum_fr2_xyz,0.2,0.09262783825397491,0.19699403643608093,0.4702062825235181,0.7505686417342127
sensitivity,B2_beta_0.95,0.95,44,tum_fr2_xyz,0.4,0.16191869974136353,0.302217960357666,0.5357679410980676,0.7101945074859631
sensitivity,B2_beta_0.95,0.95,44,tum_fr2_xyz,0.6,0.29286545515060425,0.3939777612686157,0.7433552766379993,0.767183192393029
sensitivity,B2_beta_0.95,0.95,44,tum_fr2_xyz,0.8,0.37443235516548157,0.4344448447227478,0.8618639422129541,0.8091827219993286
sensitivity,B2_beta_0.95,0.95,45,tum_fr1_desk_val,0.1,0.050230249762535095,0.4239445924758911,0.11848305054288688,0.036063818213233276
sensitivity,B2_beta_0.95,0.95,45,tum_fr1_desk_val,0.2,0.2047848105430603,0.5745325684547424,0.3564372469422842,0.21587467263669502
sensitivity,B2_beta_0.95,0.95,45,tum_fr1_desk_val,0.4,0.34714680910110474,0.8934377431869507,0.38855175736956427,0.3285416957722376
sensitivity,B2_beta_0.95,0.95,45,tum_fr1_desk_val,0.6,0.584175705909729,1.0196146965026855,0.5729377010591308,0.40540431236157337
sensitivity,B2_beta_0.95,0.95,45,tum_fr1_desk_val,0.8,0.7068386077880859,1.098691701889038,0.6433457175833077,0.4586646182307532
sensitivity,B2_beta_0.95,0.95,45,tum_fr2_xyz,0.1,0.067080557346344,0.07897429913282394,0.8493972037605763,0.7744504046934164
sensitivity,B2_beta_0.95,0.95,45,tum_fr2_xyz,0.2,0.11442067474126816,0.17670920491218567,0.6475082513276326,0.7760014997797433
sensitivity,B2_beta_0.95,0.95,45,tum_fr2_xyz,0.4,0.13296814262866974,0.404036283493042,0.32909950113419606,0.8290071198518322
