variant,seed,domain,method,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg,overlap,regret,budget_cost,budget_realized_delta_q,budget_ose
A1_standard,43,tum_fr1_desk_val,learned,0.4,0.30881041288375854,0.436788409948349,0.7070022893928276,0.7865471340893698,0.625,0.12797799706459045,999.837215423584,0.3173283040523529,0.6666421726937166
A1_standard,43,tum_fr1_desk_val,learned,0.6,0.4381253719329834,0.4868185222148895,0.8999767735620793,0.8007931183068256,0.75,0.04869315028190613,1502.5255851745605,0.44768399000167847,0.9125786348877541
A1_standard,43,tum_fr1_desk_val,learned,0.8,0.5197800993919373,0.5047381520271301,1.0298014663769341,0.8260563779466973,0.84375,-0.015041947364807129,1907.065071105957,0.4924549460411072,0.9812892617495739
A1_standard,43,tum_fr1_desk_val,error_only,0.1,0.04090098291635513,0.22852715849876404,0.17897645686961872,0.484921514679981,0.25,0.1876261755824089,250.1497039794922,0.06103501468896866,0.26707988861945003
A1_standard,43,tum_fr1_desk_val,error_only,0.2,0.1520766019821167,0.3096950054168701,0.491052791977977,0.5919248399165965,0.375,0.15761840343475342,498.0586280822754,0.09350328147411346,0.3181548196486822
A1_standard,43,tum_fr1_desk_val,error_only,0.4,0.20650187134742737,0.436788409948349,0.4727732282184738,0.5992483204231999,0.5,0.23028653860092163,996.623893737793,0.20650188624858856,0.4338184282842861
A1_standard,43,tum_fr1_desk_val,error_only,0.6,0.2458968162536621,0.4868185222148895,0.5051098098811064,0.630558943862973,0.5833333333333334,0.24092170596122742,1502.3970565795898,0.22637872397899628,0.46146029679464207
A1_standard,43,tum_fr1_desk_val,error_only,0.8,0.40637311339378357,0.5047381520271301,0.8051166802242716,0.7268805303346945,0.78125,0.09836503863334656,1983.1105346679688,0.4080101549625397,0.8130205351132747
A1_standard,43,tum_fr1_desk_val,heuristic,0.1,0.01342027261853218,0.22852715849876404,0.058725064099346955,0.03694209229533601,0.0,0.21510688588023186,231.04678344726562,0.013741357252001762,0.06013007751447331
A1_standard,43,tum_fr1_desk_val,heuristic,0.2,-0.0032330891117453575,0.3096950054168701,-0.010439590406043198,0.047167574634645125,0.0,0.3129280945286155,498.2395439147949,0.029743660241365433,0.1012059545996059
A1_standard,43,tum_fr1_desk_val,heuristic,0.4,0.2862383723258972,0.436788409948349,0.6553250023426569,0.41382910131369327,0.5625,0.15055003762245178,1001.6101417541504,0.25709909200668335,0.5401128582108473
A1_standard,43,tum_fr1_desk_val,heuristic,0.6,0.36508870124816895,0.4868185222148895,0.7499482396183984,0.4415794280094796,0.625,0.12172982096672058,1487.2857513427734,0.3408558666706085,0.6948155137256082
A1_standard,43,tum_fr1_desk_val,heuristic,0.8,0.38429224491119385,0.5047381520271301,0.7613695056617054,0.46893186200653497,0.78125,0.12044590711593628,1988.8629722595215,0.38868448138237,0.774511274291037
A1_standard,43,tum_fr1_desk_val,random,0.1,0.0270066075026989,0.22852715849876404,0.11817679132030624,0.017664778298541076,0.0,0.20152055099606514,237.76422500610352,0.0270066075026989,0.11817678361456467
A1_standard,43,tum_fr1_desk_val,random,0.2,0.07173438370227814,0.3096950054168701,0.2316291193957994,0.05400191808150641,0.125,0.23796062171459198,487.1591567993164,0.07173438370227814,0.2440838390867186
A1_standard,43,tum_fr1_desk_val,random,0.4,0.16360391676425934,0.436788409948349,0.37456102152068455,0.11171784150200213,0.3125,0.27318449318408966,1000.7648735046387,0.19274315237998962,0.40491412910092617
A1_standard,43,tum_fr1_desk_val,random,0.6,0.25725287199020386,0.4868185222148895,0.5284368917094724,0.22686215378559965,0.5833333333333334,0.22956565022468567,1472.1691284179688,0.2620715796947479,0.5342181757266183
A1_standard,43,tum_fr1_desk_val,random,0.8,0.4047609269618988,0.5047381520271301,0.8019225757297553,0.3272525172545134,0.8125,0.09997722506523132,1977.9198150634766,0.4047608971595764,0.8065459087208784
